,name,latitud,longitud,geometry,category
0,La Castela,40.42043470417075,-3.6765640741828016,POINT (-3.676564074182802 40.42043470417075),bars
1,El Rincón del Cabo,40.411716,-3.7030745,POINT (-3.7030745 40.411716),bars
2,Suéltate el Pelo,40.444418245863936,-3.703119009838454,POINT (-3.703119009838454 40.44441824586394),bars
3,Yambala,40.41664556425945,-3.7070215912078375,POINT (-3.707021591207837 40.41664556425945),bars
